Order ID,Product Name,Category,Sub-Category,Sales,Quantity,Discount,Profit,Shipping Cost,Customer Name,Customer Segment,Region,State,Order Date,Ship Date
ORD-100021,Sauder Bookcase,Furniture,Bookcases,296.12,3,0.0,25.15,22.63,Brian Williams,Consumer,East,Connecticut,2021-04-30,2021-05-04
ORD-100022,Jabra Headset,Technology,Accessories,173.44,10,0.0,24.98,24.22,Rebecca Walker,Consumer,East,Connecticut,2022-01-16,2022-01-18
ORD-100023,Brother Fax Machine,Technology,Machines,336.3,8,0.0,78.31,30.03,James Smith,Consumer,Central,Michigan,2023-12-07,2023-12-10
ORD-100024,Avery Heavy Duty Binder,Office Supplies,Binders,101.0,2,0.4,-19.0,15.0,Rachel Wright,Consumer,West,Arizona,2021-05-29,2021-05-30
ORD-100025,Prepac Bookcase,Furniture,Bookcases,348.89,2,0.4,-83.47,13.6,James Smith,Home Office,East,Maryland,2021-11-20,2021-11-23
ORD-100026,BIC Cristal Pens,Office Supplies,Art,68.34,4,0.2,6.19,27.4,Jessica Dodson,Consumer,Central,Minnesota,2021-08-25,2021-08-30
ORD-100027,Hammermill Copy Paper,Office Supplies,Paper,122.99,6,0.3,3.27,22.66,Eric Chandler,Consumer,South,Mississippi,2023-11-02,2023-11-05
ORD-100028,Bush Coat Rack,Furniture,Furnishings,209.29,9,0.0,17.69,17.15,Timothy Ford,Consumer,East,New York,2022-06-21,2022-06-23
ORD-100029,Canon Printer,Technology,Machines,463.0,6,0.3,-5.2,36.13,Leslie Powell,Corporate,Central,Texas,2021-10-31,2021-11-03
ORD-100030,Avery File Folder Labels,Office Supplies,Labels,74.67,7,0.3,-2.19,27.82,Cindy Parker,Consumer,West,Nevada,2023-04-13,2023-04-20
ORD-100031,Avery Flexi-View,Office Supplies,Binders,54.6,8,0.0,8.75,26.25,Alyssa Cook,Consumer,East,Virginia,2022-05-24,2022-05-27
ORD-100032,Fellowes Storage Case,Office Supplies,Storage,116.0,6,0.2,14.83,16.11,Joanna Ruiz,Consumer,Central,Missouri,2022-04-12,2022-04-15
ORD-100033,Brother Fax Machine,Technology,Machines,398.48,6,0.2,27.96,19.44,Donna Jones,Consumer,Central,Illinois,2022-11-10,2022-11-16
ORD-100034,3M Post-it Flags,Office Supplies,Labels,101.57,9,0.2,2.82,30.42,Matthew Jones,Consumer,East,Maryland,2023-11-14,2023-11-16
ORD-100035,HP LaserJet,Technology,Machines,467.82,9,0.0,120.18,23.38,James Smith,Home Office,Central,Wisconsin,2022-02-08,2022-02-11
ORD-100036,Hon 10500 Table,Furniture,Tables,305.7,10,0.1,30.03,20.08,Amy Reyes,Corporate,South,Louisiana,2023-04-05,2023-04-09
ORD-100037,Zebra Label Printer,Technology,Machines,29.16,8,0.3,-0.55,29.5,Rebecca Taylor,Corporate,South,Tennessee,2021-01-01,2021-01-04
ORD-100038,Canon Printer,Technology,Machines,423.93,3,0.0,69.97,18.09,James Patel,Consumer,West,Colorado,2021-12-14,2021-12-18
ORD-100039,Quartet Calendar,Office Supplies,Supplies,92.94,7,0.0,11.21,22.57,Tina Williams,Corporate,West,Colorado,2023-09-01,2023-09-05
ORD-100040,Avery Flexi-View,Office Supplies,Binders,82.97,8,0.0,19.73,11.39,Patrick Brown,Home Office,West,Washington,2021-01-12,2021-01-17
ORD-100041,Tyvek Mailer,Office Supplies,Envelopes,137.29,3,0.2,4.68,18.56,Joshua Bush,Home Office,South,Mississippi,2021-09-06,2021-09-09
ORD-100042,Stanley Staple Gun,Office Supplies,Fasteners,64.13,2,0.2,2.24,10.61,Joseph Smith,Consumer,South,Louisiana,2022-06-15,2022-06-20
ORD-100043,Bestar Folding Table,Furniture,Tables,419.85,2,0.1,15.3,20.33,Chad Sheppard,Corporate,West,Nevada,2022-11-19,2022-11-22
ORD-100044,Konica Minolta,Technology,Copiers,325.24,7,0.1,40.87,34.96,Bridget Kirby,Home Office,East,Virginia,2023-08-13,2023-08-16
ORD-100045,Eldon Mobile,Office Supplies,Storage,93.11,8,0.0,24.99,13.94,Holly Smith,Consumer,West,Nevada,2022-09-04,2022-09-09
ORD-100046,Staedtler Pens,Office Supplies,Art,67.53,2,0.2,2.95,8.01,Andrew Medina,Corporate,East,Massachusetts,2023-04-09,2023-04-13
ORD-100047,Brother Fax Machine,Technology,Machines,347.26,5,0.3,-46.25,32.41,Jerome Walker,Consumer,South,North Carolina,2023-08-04,2023-08-06
ORD-100048,Steelcase Leap,Furniture,Chairs,345.53,1,0.4,-71.51,15.29,Rebecca Walker,Consumer,West,Colorado,2022-06-01,2022-06-06
ORD-100049,Xerox WorkCentre,Technology,Copiers,410.82,3,0.2,3.4,37.24,David Marshall,Corporate,West,Nevada,2021-02-11,2021-02-15
ORD-100050,Canon Printer,Technology,Machines,183.54,7,0.4,-29.56,12.03,Timothy Wiggins,Corporate,East,New Jersey,2021-08-23,2021-08-28
ORD-100051,Ibico MB,Office Supplies,Binders,79.03,2,0.1,7.89,13.79,Donald Morales,Corporate,East,New Jersey,2022-05-13,2022-05-15
ORD-100052,Zebra Label Printer,Technology,Machines,384.19,5,0.2,15.45,35.51,Michelle Smith,Consumer,West,Nevada,2023-05-11,2023-05-16
ORD-100053,Acco Binder Clips,Office Supplies,Fasteners,150.36,8,0.0,34.39,18.55,Joanna Ruiz,Home Office,West,Utah,2023-09-18,2023-09-21
ORD-100054,Bush Furniture Bookcase,Furniture,Bookcases,340.91,6,0.0,32.82,25.91,Adam Page,Consumer,South,Georgia,2023-02-16,2023-02-19
ORD-100055,Ikea BEKANT Desk,Furniture,Tables,79.75,4,0.2,-4.89,22.03,Theresa Estrada,Consumer,West,Colorado,2022-07-20,2022-07-24
ORD-100056,Brother Fax Machine,Technology,Machines,419.64,6,0.1,93.65,25.73,Kyle Washington,Consumer,South,Louisiana,2023-10-03,2023-10-06
ORD-100057,Realspace Bookcase,Furniture,Bookcases,286.92,4,0.0,33.02,28.8,Kevin Wagner,Consumer,Central,Ohio,2023-05-22,2023-05-29
ORD-100058,Stanley Staple Gun,Office Supplies,Fasteners,88.89,4,0.0,14.36,12.94,Mary Fernandez,Home Office,Central,Illinois,2022-01-15,2022-01-17
ORD-100059,Nokia 5310,Technology,Phones,592.85,2,0.4,-60.71,30.36,Travis Allen,Home Office,Central,Wisconsin,2023-12-30,2024-01-01
ORD-100060,Steelcase Leap,Furniture,Chairs,404.92,8,0.0,22.08,28.09,Barbara Barber,Home Office,South,Florida,2023-08-20,2023-08-23
ORD-100061,Advantus Binder Clips,Office Supplies,Fasteners,134.89,10,0.1,9.43,22.4,Cheryl Banks,Corporate,West,California,2021-04-20,2021-04-22
ORD-100062,Stanley Staple Gun,Office Supplies,Fasteners,108.78,10,0.5,-7.67,7.85,William Smith,Corporate,South,North Carolina,2023-12-07,2023-12-10
ORD-100063,Samsung Galaxy S22,Technology,Phones,251.51,1,0.1,18.03,26.64,Wanda Yang,Corporate,West,Washington,2022-03-02,2022-03-06
ORD-100064,Zebra Label Printer,Technology,Machines,425.94,10,0.2,-2.2,36.73,Mary Martin,Consumer,East,Maryland,2023-08-21,2023-08-24
ORD-100065,Anker Charger,Technology,Accessories,161.89,10,0.2,3.79,21.61,Gregory Simmons,Consumer,West,California,2023-05-21,2023-05-23
ORD-100066,Realspace Bookcase,Furniture,Bookcases,182.52,2,0.1,7.97,30.66,Abigail Berger,Corporate,Central,Minnesota,2022-08-15,2022-08-18
ORD-100067,HP Wireless Mouse,Technology,Accessories,262.89,10,0.0,67.69,28.68,Leslie Lynch,Corporate,East,Virginia,2022-10-23,2022-10-27
ORD-100068,Bush Furniture Bookcase,Furniture,Bookcases,216.01,8,0.0,18.12,16.32,Jeffrey Golden,Home Office,South,Louisiana,2023-08-22,2023-08-26
ORD-100069,Rubbermaid Cabinet,Furniture,Furnishings,407.62,8,0.0,15.68,17.97,Jeffery Rogers,Corporate,South,Mississippi,2021-08-03,2021-08-08
ORD-100070,Ergon Chair,Furniture,Chairs,337.3,6,0.2,1.81,23.21,Patrick Brown,Consumer,South,Tennessee,2021-08-26,2021-09-02
ORD-100071,Anker Charger,Technology,Accessories,152.8,10,0.3,-7.76,25.22,Samantha Atkins,Consumer,South,Louisiana,2023-06-25,2023-06-30
ORD-100072,Global Leather Chair,Furniture,Chairs,341.19,8,0.4,-61.72,17.7,Shawn Martinez,Home Office,East,Massachusetts,2022-09-29,2022-10-03
ORD-100073,Advantus Ring Binder,Furniture,Furnishings,161.57,10,0.1,-7.44,29.97,Nathan Jennings,Consumer,South,Alabama,2022-07-14,2022-07-17
ORD-100074,Fellowes Storage Case,Office Supplies,Storage,106.7,10,0.1,16.52,22.95,Rebecca Rubio,Consumer,Central,Missouri,2021-05-23,2021-05-26
ORD-100075,Prepac Bookcase,Furniture,Bookcases,340.06,4,0.1,12.69,16.11,Timothy Best,Home Office,South,Tennessee,2021-11-01,2021-11-04
ORD-100076,Deflect-o Stackable,Office Supplies,Storage,68.24,9,0.5,-11.49,13.33,Sandra Dean,Home Office,West,Nevada,2023-04-22,2023-04-23
ORD-100077,Eldon Shelf,Furniture,Furnishings,345.17,2,0.1,-5.43,36.07,Karen Dawson,Home Office,West,Nevada,2021-07-25,2021-07-30
ORD-100078,Steelcase Leap,Furniture,Chairs,533.89,9,0.0,66.04,15.53,Dominique Salinas,Corporate,South,North Carolina,2022-11-25,2022-11-29
ORD-100079,Sterilite Storage Box,Office Supplies,Storage,51.88,1,0.0,13.12,25.53,James Smith,Consumer,East,Massachusetts,2022-08-12,2022-08-19
ORD-100080,Lorell Glass Table,Furniture,Tables,193.04,3,0.0,26.9,23.32,Daniel Abbott,Corporate,South,Alabama,2022-08-24,2022-08-27
ORD-100081,Belkin USB Hub,Technology,Accessories,595.38,1,0.4,-107.78,27.47,Ashley Johnson,Consumer,South,Louisiana,2023-02-23,2023-02-27
ORD-100082,Ricoh Aficio,Technology,Copiers,564.14,8,0.3,-22.21,19.66,Michele Hess,Home Office,Central,Wisconsin,2022-08-13,2022-08-17
ORD-100083,Sharp MX,Technology,Copiers,541.53,1,0.5,-67.78,31.6,Mary Fernandez,Consumer,Central,Minnesota,2023-02-27,2023-03-04
ORD-100084,Navigator Paper,Office Supplies,Paper,82.15,4,0.2,1.83,14.16,Theresa Brown,Home Office,South,Mississippi,2022-07-17,2022-07-18
ORD-100085,Sanford Markers,Office Supplies,Art,61.54,10,0.0,11.03,7.78,Jeremiah Smith,Corporate,East,New Jersey,2022-01-25,2022-01-29
ORD-100086,Bestar Folding Table,Furniture,Tables,300.75,3,0.0,35.21,31.28,Christopher Gibbs,Corporate,Central,Minnesota,2022-08-28,2022-08-31
ORD-100087,Canon Printer,Technology,Machines,454.27,7,0.5,-81.15,33.81,Joseph Lopez,Consumer,South,Florida,2023-09-14,2023-09-20
ORD-100088,Prepac Bookcase,Furniture,Bookcases,311.56,10,0.0,53.8,26.47,Elizabeth Landry,Consumer,East,Massachusetts,2023-01-20,2023-01-22
ORD-100089,Nokia 5310,Technology,Phones,367.65,8,0.4,-1.47,18.51,Dr. Darren Mcneil,Consumer,Central,Minnesota,2023-01-31,2023-02-02
ORD-100090,Motorola Edge,Technology,Phones,510.11,3,0.0,69.96,23.22,Jessica Hill,Consumer,South,Florida,2023-04-17,2023-04-19
ORD-100091,Sterilite Storage Box,Office Supplies,Storage,55.73,1,0.2,4.69,9.98,Lisa Joyce,Consumer,South,Alabama,2023-05-09,2023-05-13
ORD-100092,Wilson Jones Binder,Office Supplies,Binders,82.85,2,0.4,-5.33,26.91,Nathan Jennings,Consumer,Central,Illinois,2023-06-30,2023-07-06
ORD-100093,Hammermill Copy Paper,Office Supplies,Paper,105.14,4,0.0,22.75,25.76,Jacqueline Yang,Home Office,Central,Texas,2021-07-07,2021-07-11
ORD-100094,3M Post-it Flags,Office Supplies,Labels,62.9,5,0.3,-6.02,8.16,Eric Chandler,Home Office,West,Utah,2022-03-01,2022-03-05
ORD-100095,Avery Heavy Duty Binder,Office Supplies,Binders,75.71,10,0.0,19.9,9.22,Jennifer Browning,Consumer,West,California,2021-09-24,2021-09-28
ORD-100096,Hon 4070 Chair,Furniture,Chairs,335.69,10,0.0,12.66,23.32,John Gomez,Corporate,South,Tennessee,2021-04-18,2021-04-20
ORD-100097,OIC Binder Clips,Office Supplies,Fasteners,95.54,7,0.2,7.57,18.15,Barbara Barber,Home Office,East,New York,2021-03-30,2021-04-03
ORD-100098,Logitech Keyboard,Technology,Accessories,268.58,9,0.2,7.44,18.66,Trevor Martinez,Corporate,West,Oregon,2023-06-28,2023-06-30
ORD-100099,Eldon Shelf,Furniture,Furnishings,316.99,4,0.1,-11.78,33.32,Stephen Curtis,Corporate,East,Virginia,2023-12-23,2023-12-26
ORD-100100,Eldon Shelf,Furniture,Furnishings,352.93,6,0.5,-95.98,28.6,Ashley Johnson,Consumer,Central,Michigan,2023-04-28,2023-05-01
ORD-100101,Avery Flexi-View,Office Supplies,Binders,124.66,9,0.0,33.99,31.32,Michele Moore,Corporate,East,Maryland,2023-08-30,2023-09-01
ORD-100102,Eldon Shelf,Furniture,Furnishings,144.68,10,0.1,-3.89,10.07,Nicole Jimenez,Consumer,Central,Minnesota,2022-11-07,2022-11-11
ORD-100103,Canon Printer,Technology,Machines,492.41,9,0.5,-95.68,34.95,Mary Lambert,Consumer,Central,Minnesota,2023-09-15,2023-09-18
ORD-100104,Advantus Binder Clips,Office Supplies,Fasteners,106.48,6,0.0,43.94,10.03,Joseph Thomas,Corporate,West,Oregon,2021-02-23,2021-02-27
ORD-100105,Ikea BEKANT Desk,Furniture,Tables,378.51,7,0.1,29.06,14.82,Timothy Wiggins,Corporate,East,Maryland,2021-10-21,2021-10-25
ORD-100106,Avery Heavy Duty Binder,Office Supplies,Binders,120.53,2,0.0,30.44,23.28,Jasmine Anderson,Corporate,West,Washington,2022-10-01,2022-10-05
ORD-100107,Lorell Glass Table,Furniture,Tables,272.17,10,0.1,15.77,26.46,Patrick Dixon,Consumer,East,New Jersey,2023-09-22,2023-09-26
ORD-100108,Hammermill Copy Paper,Office Supplies,Paper,65.27,5,0.0,13.59,7.54,Joseph Rodriguez,Home Office,West,Oregon,2021-04-04,2021-04-07
ORD-100109,Sharp MX,Technology,Copiers,332.34,2,0.0,61.18,29.68,Beth Baker,Corporate,West,Arizona,2023-10-16,2023-10-20
ORD-100110,Mead Envelopes,Office Supplies,Envelopes,164.07,5,0.0,20.78,6.84,Cheryl Banks,Consumer,South,Alabama,2023-06-13,2023-06-14
ORD-100111,Fiskars Scissors,Office Supplies,Supplies,111.96,7,0.1,6.65,19.39,William Clark,Home Office,East,Massachusetts,2022-10-28,2022-10-30
ORD-100112,3M Post-it Flags,Office Supplies,Labels,74.9,9,0.1,14.56,28.96,Melissa Newton,Corporate,West,California,2023-03-22,2023-03-27
ORD-100113,Dixon Ticonderoga Pencils,Office Supplies,Art,92.06,10,0.0,15.29,25.34,Danny Dodson,Consumer,East,Pennsylvania,2022-12-17,2022-12-20
ORD-100114,Quartet Calendar,Office Supplies,Supplies,67.11,10,0.0,17.04,30.56,Jacqueline Yang,Home Office,South,Louisiana,2021-06-04,2021-06-06
ORD-100115,Ricoh Aficio,Technology,Copiers,293.14,2,0.0,55.94,21.06,Dr. Kevin Martin,Consumer,Central,Minnesota,2022-10-10,2022-10-12
ORD-100116,Nokia 5310,Technology,Phones,417.29,8,0.4,-72.02,26.78,Ronald Ramsey,Corporate,South,Tennessee,2021-04-27,2021-04-30
ORD-100117,Ikea BEKANT Desk,Furniture,Tables,567.27,2,0.1,29.33,19.0,Jessica Dodson,Home Office,South,Florida,2022-01-21,2022-01-24
ORD-100118,BIC Cristal Pens,Office Supplies,Art,25.2,10,0.0,5.78,20.54,Carla Chen,Consumer,Central,Ohio,2022-05-23,2022-05-27
ORD-100119,Ricoh Aficio,Technology,Copiers,304.11,6,0.0,67.7,27.0,Timothy Ford,Home Office,Central,Wisconsin,2022-11-17,2022-11-19
ORD-100120,Rubbermaid Tote,Office Supplies,Storage,64.64,3,0.2,3.51,26.67,Laurie Smith,Corporate,East,New Jersey,2022-12-18,2022-12-21
ORD-100121,Kraft Envelopes,Office Supplies,Envelopes,106.16,6,0.4,-6.02,18.25,Chad Sheppard,Consumer,Central,Ohio,2023-12-15,2023-12-17
ORD-100122,Canon Printer,Technology,Machines,217.95,10,0.0,35.59,11.74,Jennifer Montgomery,Consumer,East,Maryland,2022-04-09,2022-04-16
ORD-100123,Brother Fax Machine,Technology,Machines,334.01,4,0.1,22.49,18.04,Edward Murphy,Consumer,South,Alabama,2021-12-06,2021-12-10
ORD-100124,Konica Minolta,Technology,Copiers,692.47,7,0.5,-138.32,38.91,Jeremy Cervantes,Consumer,Central,Missouri,2023-08-19,2023-08-25
ORD-100125,Ricoh Aficio,Technology,Copiers,208.26,5,0.0,47.04,11.49,Samantha West,Home Office,East,Maryland,2021-10-11,2021-10-16
ORD-100126,Xerox WorkCentre,Technology,Copiers,749.54,1,0.1,113.65,28.7,Rachel Wright,Consumer,West,Utah,2023-07-10,2023-07-16
ORD-100127,Staples Standard Envelopes,Office Supplies,Envelopes,41.38,3,0.0,8.1,11.57,Ronald Ingram,Home Office,East,New Jersey,2023-02-05,2023-02-08
ORD-100128,Konica Minolta,Technology,Copiers,612.71,3,0.1,39.59,34.89,Jamie Pierce,Consumer,East,New York,2023-08-26,2023-08-30
ORD-100129,3M Post-it Flags,Office Supplies,Labels,104.2,2,0.0,26.96,29.52,Tommy Patterson,Consumer,East,New York,2023-12-17,2023-12-20
ORD-100130,Safco Round Table,Furniture,Tables,198.77,10,0.1,3.38,24.91,James Gomez,Corporate,South,Florida,2021-02-03,2021-02-07
ORD-100131,Humanscale Chair,Furniture,Chairs,98.95,5,0.2,-11.01,14.62,Jose Jones,Corporate,South,Florida,2021-06-25,2021-06-29
ORD-100132,Ibico MB,Office Supplies,Binders,81.92,6,0.3,-6.75,9.37,Lisa Graves,Consumer,Central,Texas,2021-05-19,2021-05-22
ORD-100133,Bestar Folding Table,Furniture,Tables,505.89,1,0.0,14.41,14.3,Tommy Patterson,Corporate,East,Maryland,2023-08-10,2023-08-17
ORD-100134,Prepac Bookcase,Furniture,Bookcases,257.19,1,0.3,-34.33,13.3,Kelsey Martin,Corporate,South,Mississippi,2022-02-13,2022-02-18
ORD-100135,Epson Scanner,Technology,Machines,640.6,8,0.4,-135.67,26.25,Ebony Adams,Consumer,East,Virginia,2023-01-02,2023-01-07
ORD-100136,Sauder Bookcase,Furniture,Bookcases,449.58,9,0.0,45.19,14.76,Daniel Abbott,Consumer,South,Florida,2022-01-18,2022-01-21
ORD-100137,Advantus Ring Binder,Furniture,Furnishings,192.22,10,0.5,-53.22,14.26,Ryan Vasquez,Consumer,South,North Carolina,2022-11-03,2022-11-07
ORD-100138,Mead Envelopes,Office Supplies,Envelopes,96.37,1,0.0,18.31,11.3,Abigail Berger,Consumer,West,California,2021-04-28,2021-04-30
ORD-100139,Navigator Paper,Office Supplies,Paper,92.23,6,0.1,11.14,6.92,Donald Morales,Consumer,West,Colorado,2023-01-21,2023-01-24
ORD-100140,Bush Furniture Bookcase,Furniture,Bookcases,323.62,9,0.0,43.08,24.64,Casey Liu,Corporate,East,New York,2021-10-09,2021-10-13
ORD-100141,Avery Shipping Labels,Office Supplies,Labels,140.75,4,0.0,22.25,28.84,Travis Allen,Home Office,Central,Wisconsin,2022-06-21,2022-06-26
ORD-100142,Wilson Jones Binder,Office Supplies,Binders,158.26,5,0.4,-31.27,29.15,Jerry Curtis,Consumer,Central,Wisconsin,2023-07-15,2023-07-17
ORD-100143,Global Leather Chair,Furniture,Chairs,291.79,6,0.1,14.42,18.8,Andrew Medina,Corporate,West,Washington,2021-12-23,2021-12-28
ORD-100144,Zebra Label Printer,Technology,Machines,454.96,10,0.0,67.73,38.35,Jacqueline Fisher,Consumer,South,Alabama,2021-09-23,2021-09-27
ORD-100145,Staples Standard Envelopes,Office Supplies,Envelopes,83.34,9,0.4,-10.39,6.16,Matthew Compton,Home Office,West,Utah,2021-06-01,2021-06-04
ORD-100146,Safco Round Table,Furniture,Tables,239.28,5,0.3,-23.33,14.55,Patrick Brown,Home Office,West,Oregon,2021-09-12,2021-09-16
ORD-100147,Ergon Chair,Furniture,Chairs,352.84,3,0.2,-33.39,29.51,Shawn Martinez,Home Office,West,Arizona,2022-07-17,2022-07-19
ORD-100148,Hon 4070 Chair,Furniture,Chairs,417.95,4,0.3,-52.09,22.61,Mary Martin,Corporate,East,Maryland,2022-11-23,2022-11-28
ORD-100149,Acco Binder Clips,Office Supplies,Fasteners,116.01,5,0.1,19.89,23.91,Randy Terry,Home Office,South,Georgia,2021-03-04,2021-03-07
ORD-100150,Safco Round Table,Furniture,Tables,210.52,6,0.5,-69.05,10.74,Jonathan Baker,Home Office,West,Oregon,2021-11-20,2021-11-23
ORD-100151,Jabra Headset,Technology,Accessories,529.57,2,0.0,111.48,39.12,Charles Avila,Consumer,East,New Jersey,2023-01-29,2023-02-02
ORD-100152,BIC Cristal Pens,Office Supplies,Art,89.33,9,0.1,13.03,28.52,Casey Liu,Corporate,Central,Texas,2023-05-07,2023-05-10
ORD-100153,Acco Staple Remover,Office Supplies,Supplies,130.89,5,0.1,14.45,29.44,Jasmine Anderson,Consumer,West,Arizona,2023-10-16,2023-10-17
ORD-100154,Google Pixel 7,Technology,Phones,497.54,6,0.0,84.53,14.33,Kayla Nichols,Corporate,West,Oregon,2023-08-22,2023-08-25
ORD-100155,Sharp MX,Technology,Copiers,375.17,3,0.5,-61.93,21.14,Brittany Joyce,Corporate,South,Mississippi,2022-02-03,2022-02-06
ORD-100156,Bestar Folding Table,Furniture,Tables,409.05,3,0.2,-7.9,32.89,Isaac Riley DVM,Consumer,South,Alabama,2022-11-26,2022-11-30
ORD-100157,BIC Cristal Pens,Office Supplies,Art,131.78,10,0.0,29.13,28.0,James Smith,Consumer,Central,Texas,2023-11-30,2023-12-03
ORD-100158,Eldon Shelf,Furniture,Furnishings,391.83,10,0.0,33.1,35.1,Cheryl Banks,Corporate,Central,Ohio,2023-12-27,2023-12-30
ORD-100159,Logitech Keyboard,Technology,Accessories,461.87,3,0.3,-30.72,18.78,Jerome Walker,Corporate,South,Georgia,2021-02-24,2021-02-28
ORD-100160,Advantus Ring Binder,Furniture,Furnishings,321.64,10,0.4,-61.19,33.0,William Robinson,Consumer,South,Louisiana,2021-08-14,2021-08-16
ORD-100161,Realspace Bookcase,Furniture,Bookcases,211.81,9,0.0,43.34,16.8,Taylor Johnson,Home Office,South,North Carolina,2021-05-08,2021-05-12
ORD-100162,Anker Charger,Technology,Accessories,249.04,5,0.2,-10.14,26.62,Rebecca Rubio,Home Office,Central,Texas,2022-06-26,2022-06-30
ORD-100163,IKEA KALLAX,Furniture,Bookcases,448.97,7,0.3,-45.08,37.75,Jerome Walker,Corporate,East,Connecticut,2023-09-29,2023-10-02
ORD-100164,Motorola Edge,Technology,Phones,509.86,4,0.0,107.79,27.74,Vincent Mcdonald,Consumer,South,Louisiana,2021-10-27,2021-10-30
ORD-100165,Avery File Folder Labels,Office Supplies,Labels,89.61,4,0.0,15.69,15.95,Joseph Lopez,Home Office,East,Maryland,2022-07-11,2022-07-13
ORD-100166,Navigator Paper,Office Supplies,Paper,92.43,8,0.2,2.42,25.26,Tiffany Lloyd,Corporate,West,Nevada,2023-08-26,2023-08-28
ORD-100167,Ibico MB,Office Supplies,Binders,121.2,3,0.1,16.08,28.04,Isaac Riley DVM,Corporate,West,Arizona,2022-08-12,2022-08-15
ORD-100168,Advantus Ring Binder,Furniture,Furnishings,210.94,10,0.0,17.7,33.76,Courtney Gardner,Consumer,Central,Illinois,2021-03-16,2021-03-23
ORD-100169,Acco Staple Remover,Office Supplies,Supplies,103.21,6,0.0,19.8,17.45,Bianca Melton,Consumer,South,North Carolina,2022-08-06,2022-08-09
ORD-100170,Epson Scanner,Technology,Machines,278.44,7,0.1,31.24,10.91,Randy Terry,Corporate,West,Washington,2022-06-11,2022-06-15
ORD-100171,Brother Fax Machine,Technology,Machines,449.19,5,0.5,-110.21,20.14,Joshua Bush,Consumer,East,New Jersey,2021-07-15,2021-07-17
